
SQLCODE=+012 , SQLSTATE=01545 未限定的列名被解释为一个有相互关系的引用 
SQLCODE=+098 , SQLSTATE=01568 动态SQL语句用分号结束 
SQLCODE=+100 , SQLSTATE=02000 没有找到满足SQL语句的行 
SQLCODE=+110 , SQLSTATE=01561 用DATA CAPTURE定义的表的更新操作不能发送到原来的子系统 
SQLCODE=+111 , SQLSTATE=01590 为2型索引设置了SUBPAGES语句 
SQLCODE=+117 , SQLSTATE=01525 要插入的值的个数不等于被插入表的列数 
SQLCODE=+162 , SQLSTATE=01514 指定的表空间被置为检查挂起状态 
SQLCODE=+203 , SQLSTATE=01552 使用非唯一的名字来解决命名的限定列 
SQLCODE=+204 , SQLSTATE=01532 命名的对象未在DB2中定义 
SQLCODE=+206 , SQLSTATE=01533 命名的列不在SQL语句中指定的任何表中存在 
SQLCODE=+218 , SQLSTATE=01537 因为SQL语句引用一个远程对象，不能为该SQL语句执行EXPLAIN 
SQLCODE=+219 , SQLSTATE=01532 命名的PLAN TABLE不存在 
SQLCODE=+220 , SQLSTATE=01546 不正确定义PLAN TABLE，检查命名列的定义 
SQLCODE=+236 , SQLSTATE=01005 SQLDA中的SQLN的值至少应于所描述的列的个数一样大 
SQLCODE=+237 , SQLSTATE=01594 至少有一个被描述的列应该是单值类型，因此扩展的SQLVAR条目需要另外的空间 
SQLCODE=+238 , SQLSTATE=01005 至少应有一个被描述的列是一个LOB，因此扩展的SQLVAR条目需要另外的空间 
SQLCODE=+239 , SQLSTATE=01005 至少应有一个被描述的列应是单值类型，因此扩展的SQLVAR条目需要另外的空间 
SQLCODE=+304 , SQLSTATE=01515 该值不能被分配给宿主变量，因为该值不再数据类型的范围之内 
SQLCODE=+331 , SQLSTATE=01520 不能被翻译的字符串，因此被设置为NULL 
SQLCODE=+339 , SQLSTATE=01569 由于与DB2 2.2版本的子系统连接，所以可能存在字符转换问题 
SQLCODE=+394 , SQLSTATE=01629 使用优化提示来选择访问路径 
SQLCODE=+395 , SQLSTATE=01628 设置了无效的优化提示，原因代码指定了为什么，忽略优化提示 
SQLCODE=+402 , SQLSTATE=01521 未知的位置 
SQLCODE=+403 , SQLSTATE=01522 本地不存在CREAT ALIAS对象 
SQLCODE=+434 , SQLSTATE=01608 在DB2未来发布的版本中将不支持指定的特性，IBM建议你停止使用这些特性 
SQLCODE=+445 , SQLSTATE=01004 值被CAST函数截取 
SQLCODE=+462 , SQLSTATE=01Hxx 由用户定义的函数或存储过程发出的警告 
SQLCODE=+464 , SQLSTATE=01609 命名的存储过程超出了它可能返回的查询结果集的个数限制 
SQLCODE=+466 , SQLSTATE=01610 指定由命名的存储过程返回的查询结果集的个数。成功完成 
SQLCODE=+494 , SQLSTATE=01614 存储过程返回的结果集的个数超过了由ASSOCIATE LOCATORS语句指定的结果集定位器的个数 
SQLCODE=+495 , SQLSTATE=01616 因为倒台SQL的成本估算超出了在ELST中指定的警告阀值，所以发出警告 
SQLCODE=+535 , SQLSTATE=01591 请求一个主健的定位更新，或请求一个使用自我引出 约束的表的删除操作 
SQLCODE=+541 , SQLSTATE=01543 命名外健是一个重复的引用约束 
SQLCODE=+551 , SQLSTATE=01548 命名的授权ID缺少在命名的DB2对象上执行命名操作的权限 
SQLCODE=+552 , SQLSTATE=01542 命名的授权ID缺少执行命名操作的权限 
SQLCODE=+558 , SQLSTATE=01516 已经被授权该PUBLIC，因此WITH GRANT OPTION不可用 
SQLCODE=+561 , SQLSTATE=01523 对ALTER REFERENCES INDEX 和TRIGGER特权，PUBLIC AT ALL LOCATION无效 
SQLCODE=+562 , SQLSTATE=01560 因为GRANTEE已经拥有这些特权，所以一个或更多的特权被忽略 
SQLCODE=+585 , SQLSTATE=01625 模式名指定了不止一次 
SQLCODE=+599 , SQLSTATE=01596 没有为长字符数据类型（BLOB，CLOB和DBCLOB）建立比较函数 
SQLCODE=+610 , SQLSTATE=01566 由于创建指定DEFER YES的索引，指定的对象处于PENDING状态，或者因为使用ALTER INDEX改变关键值的范围，所以指定的对象处于PENDING状态 
SQLCODE=+625 , SQLSTATE=01518 因为删除了主健索引，所以表定义被标注为不完整 
SQLCODE=+626 , SQLSTATE=01529 删除了加强UNIQUE约束的索引，唯一性不在被加强 
SQLCODE=+645 , SQLSTATE=01528 因为建立的索引中没有包含NULL，所以WHERE NOT NULL被忽略 
SQLCODE=+650 , SQLSTATE=01538 不能更改或者建立已命名的表为从属表 
SQLCODE=+653 , SQLSTATE=01551 在已指定的分区表空间中尚没有建立指定的分区索引，所以分区索引不可得 
SQLCODE=+655 , SQLSTATE=01597 为CREATE或ALTER STOGROUP语句指定特定或者非特定的卷ID，在DB2较新发布的版本中（版本6以后）将不再支持他们 
SQLCODE=+658 , SQLSTATE=01600 当建立目录索引时，不能指定SUBPAGES语句，SUBPAGES将被忽略，并缺省为1 
SQLCODE=+664 , SQLSTATE=01540 分区索引的限制关键字超出了最大值 
SQLCODE=+738 , SQLSTATE=01530 已命名的对象的更改可能像只读系统中对象的改变要求一样 
SQLCODE=+799 , SQLSTATE=0157 SET语句中引用的特定寄存器不存在，将忽略 SET请求 
SQLCODE=+802 , SQLSTATE=01519 数据溢出或者因除法异常而引起的数据异常错误 
SQLCODE=+806 , SQLSTATE=01553 ISOLATION（RR）与LOCKSIZE PAGE 冲突 
SQLCODE=+807 , SQLSTATE=01554 由于十进制乘法导致溢出 
SQLCODE=+863 , SQLSTATE=01539 连接成功，但是只支持SBCS 
SQLCODE=+2000  , SQLSTATE=56094 SUBPAGES不等于1的1型索引不能成为数据共享环境中的缓冲池组依赖者 
SQLCODE=+2002  , SQLSTATE=01624 因为指定的缓冲池不允许超高速缓存，GNPCACHE指定被忽略 
SQLCODE=+2007  , SQLSTATE=01602 因为DB2子系统的参数禁用“提示(hiats）”所以不能指定优化提示 
SQLCODE=+30100 , SQLSTATE=01558 分布式协议错误被检测到，提供原来的SQLCODE和SQLSTATE 

SQLCODE=-007 , SQLSTATE=42601 SQL语句中由非法字符 
SQLCODE=-010 , SQLSTATE=42603 字符串常量非正常终止；检查到有遗漏的引号标志 
SQLCODE=-029 , SQLSTATE=42601 需要INTO语句 
SQLCODE=-060 , SQLSTATE=42815 某特定数据类型的长度或者标量规范无效 
SQLCODE=-084 , SQLSTATE=42612 不能执行SQL语句，因为该语句对动态SQL无效或者对OS/390的DB2无效 
SQLCODE=-097 , SQLSTATE=42601 在单位类型、用户自定义的函数以及过程中不能使用带有CAST的LONG VARCHAR或LONGVARGRAPHIC 
SQLCODE=-101 , SQLSTATE=54001 SQL语句超出了已确定的DB2限制：例如，表的数目太多，语句中的字节太多 
SQLCODE=-102 , SQLSTATE=54002 字符串常量太长 
SQLCODE=-103 , SQLSTATE=42604 无效数学文字 
SQLCODE=-104 , SQLSTATE=42601 SQL语句中遇到非法符号 
SQLCODE=-105 , SQLSTATE=42604 无效的字符串格式；通常引用一个格式不正确的图形字符串 
SQLCODE=-107 , SQLSTATE=42622 对象名太长 
SQLCODE=-108 , SQLSTATE=42601 RENAME语句中指定的名字有错误，不能使用限定词 
SQLCODE=-109 , SQLSTATE=42601 指定了无效语句；例如CREATE VIEW不能包含ORDER BY 语句 
SQLCODE=-110 , SQLSTATE=42606 遇到了无效的十六进制的文字 
SQLCODE=-111 , SQLSTATE=42901 指定的列函数没有给出列名 
SQLCODE=-112 , SQLSTATE=42607 无效的列函数语法；列函数不能运行与其他的列函数之上 
SQLCODE=-113 , SQLSTATE=42602 遇到无效字符 
SQLCODE=-114 , SQLSTATE=42961 该语句的位置名称必须与当前服务器匹配，但是却没有匹配 
SQLCODE=-115 , SQLSTATE=42601 因为比较运算符没有伴着一个表达式或者列表，遇到了无效谓词 
SQLCODE=-117 , SQLSTATE=42802 待插入的数值的个数于被插入的行中的列数不相等 
SQLCODE=-118 , SQLSTATE=42902 数据修改语句(UPDATE或DELETE）和FROM语句中的表和视图命名不合法 
SQLCODE=-119 , SQLSTATE=42803 HAVING语句中的列的列表与GROUP BY语句中的列列表不匹配 
SQLCODE=-120 , SQLSTATE=42903 不允许WHERE语句、SET语句、VALUES语句或者SET ASSIGNMENT语句引用列函数 
SQLCODE=-121 , SQLSTATE=42701 在INSERT或UPDATE语句中，某一列被非法引用了两次 
SQLCODE=-122 , SQLSTATE=42803 非法使用了列函数。因为没有用于一个列函数的所有列不再GROUP BY语句中 
SQLCODE=-123 , SQLSTATE=42601 特定位置的参数必须是一个常数或者一个关键词 
SQLCODE=-125 , SQLSTATE=42805 ORDER BY语句中指定了无效数字，该数字要么小于1要么大于选定的列数 
SQLCODE=-126 , SQLSTATE=42829 不能为一个UPDATE语句指定ORDER BY语句 
SQLCODE=-127 , SQLSTATE=42905 在子选择中DISTINCT只能指定一次 
